kata,kategori,pengucapan,penjelasan,arti
gastroenterologist,noun,ˌga-strō-ˌen-tə-ˈrä-lə-jē,"Cabang kedokteran yang berkaitan dengan struktur, fungsi, penyakit, dan patologi lambung dan usus",gastroenterologi
sotho,noun,ˈsō-(ˌ)tō,Salah satu bahasa sotho dan terutama sesotho,sotho
undermines,verb,ˌən-dər-ˈmīn,Untuk menumbangkan atau melemahkan secara diam -diam atau diam -diam,merongrong
perfectness,adjective,ˈpər-fikt,Sepenuhnya tanpa kesalahan atau cacat: tanpa cacat,kesempurnaan
foreknew,verb,(ˌ)fȯr-ˈnō,Untuk memiliki pengetahuan sebelumnya tentang: ketahui sebelumnya terutama dengan cara paranormal atau dengan wahyu,foreknew
disjoint,adjective,(ˌ)dis-ˈjȯint,Terputus -putus,menguraikan
specter,noun,ˈspek-tər,Roh tanpa tubuh yang terlihat: hantu,momok
gremlins,noun,ˈgrem-lən,Penyebab kesalahan atau kerusakan peralatan (seperti dalam pesawat) yang dipahami sebagai gnome kecil nakal,gremlin
leggy,adjective,ˈle-gē,Memiliki kaki yang sangat panjang,berkaki panjang
anglophone,adjective,ˈaŋ-glə-ˌfōn,Terdiri dari atau milik populasi berbahasa inggris terutama di negara di mana dua atau lebih bahasa diucapkan,anglophone
confessionals,noun,kən-ˈfesh-nəl,Tempat di mana seorang pendeta mendengar pengakuan,pengakuan dosa
flotilla,noun,flō-ˈti-lə,Armada kapal atau kapal;terutama: unit organisasi angkatan laut yang terdiri dari dua atau lebih skuadron kapal perang kecil,armada
esops,noun,ˌē-ˌes-(ˌ)ō-ˈpē,Sebuah program yang dengannya karyawan perusahaan memperoleh sahamnya,esops
glbtq,abbreviation,glbtq,"Gay, lesbian, biseksual, transgender, dan aneh/bertanya (identitas seksual atau gender seseorang)",glbtq
ar,noun,ˈär,Huruf r,ar
bwana,noun,ˈbwä-nə,"Tuan, bos",bwana
entrepreneurship,noun,ˌän-trə-p(r)ə-ˈnər,"Orang yang mengatur, mengelola, dan menanggung risiko bisnis atau perusahaan",kewiraswastaan
sobers,verb,sober,Untuk membuat sadar,sobers
jardin,french quotation from {i_link|voltaire|voltaire:b},ēl-fō-kᵫl-tē-vā-nȯt-zhär-daⁿ,Kita harus mengolah kebun kita: kita harus merawat urusan kita sendiri,jardin
elks,noun,ˈelk,Moose —) untuk salah satu dunia lama,elks
canal,noun,kə-ˈnal,Sebuah saluran anatomi tubular atau saluran: saluran,kanal
bakes,verb,ˈbāk,Untuk memasak dengan api kering terutama dalam oven,bakes
vastness,adjective,ˈvast,"Sangat bagus dalam ukuran, jumlah, derajat, intensitas, atau terutama dalam tingkat atau kisaran",keluasan
morbus,noun,ˈkä-lə-rə-ˈmȯr-bəs,"Penyakit gastrointestinal ditandai oleh kram, diare, dan terkadang muntah",morbus
enclaves,noun,ˈen-ˌklāv,"Unit teritorial, budaya, atau sosial yang berbeda tertutup di dalam atau seolah -olah di dalam wilayah asing",enclaves
explodes,verb,ik-ˈsplōd,Untuk meledak dengan kekerasan tiba -tiba atau kebisingan dari energi internal: seperti,meledak
formalisms,noun,ˈfȯr-mə-ˌli-zəm,Praktik atau doktrin kepatuhan yang ketat terhadap bentuk yang ditentukan atau eksternal (seperti dalam agama atau seni);juga: contoh dari ini,formalisme
wavefront,noun,wave front,Permukaan yang disusun setiap saat dari semua titik yang baru saja dicapai oleh gangguan getaran dalam perambatannya melalui media,wavefront
humiliations,verb,hyü-ˈmi-lē-ˌāt,Untuk mengurangi (seseorang) ke posisi yang lebih rendah di mata sendiri atau mata orang lain: membuat (seseorang) malu atau malu: mortif,penghinaan
flunk,verb,ˈfləŋk,Gagal terutama dalam ujian atau kursus,gagal
forecasting,verb,ˈfȯr-ˌkast,Untuk menghitung atau memprediksi (beberapa peristiwa atau kondisi di masa depan) biasanya sebagai hasil dari studi dan analisis data terkait yang tersedia;terutama: untuk memprediksi (kondisi cuaca) berdasarkan pengamatan meteorologi yang berkorelasi,peramalan
enlistment,verb,in-ˈlist,Untuk mendapatkan dukungan dan bantuan: mempekerjakan dalam memajukan minat,pendaftaran
spaceframe,noun,space frame,Kerangka kerja tiga dimensi yang biasanya terbuka dari struts dan kawat gigi (seperti pada bangunan dan mobil balap) yang mendefinisikan struktur dan mendistribusikan bobotnya secara merata di segala arah,bingkai ruang
robbe,biographical name,ˌrȯ-bə-grē-ˈyā,Alain 1922—2008 penulis prancis,robbe
evora,geographical name,ˈe-vu̇-rə,Kota di south central portugal populasi 56.519,evora
cohabitant,verb,(ˌ)kō-ˈha-bət,Untuk hidup bersama atau seolah -olah pasangan yang sudah menikah,cohabitant
blare,verb,ˈbler,Untuk terdengar keras dan melengkung,bunyi keras
ep,abbreviation or noun,ˈē-ˈpē,Rekaman musik yang biasanya lebih panjang dari single dan lebih pendek dari album full-length-disebut juga diperpanjang bermain,ep
boy,noun,ˈbȯi,Seorang anak laki -laki sejak lahir hingga dewasa,anak laki-laki
peso,noun,ˈpā-(ˌ)sō,Koin perak tua spanyol dan amerika spanyol setara dengan delapan reales,peso
artificial,adjective,ˌär-tə-ˈfi-shᵊl,Digester secara manusiawi sering pada model alami: buatan manusia,palsu
problems,noun,ˈprä-bləm,"Pertanyaan yang diajukan untuk penyelidikan, pertimbangan, atau solusi",masalah
hens,noun,ˈhen,Seekor ayam betina terutama lebih dari setahun;secara luas: seekor burung betina,ayam
parishioner,noun,pə-ˈri-sh(ə-)nər,Seorang anggota atau penduduk paroki,umat paroki
homogenize,verb,hō-ˈmä-jə-ˌnīz,Untuk memadukan (beragam elemen) menjadi campuran yang sama di seluruh,homogenisasi
fen,noun,ˈfen,Tanah rendah yang ditutupi seluruhnya atau sebagian dengan air kecuali jika dikeringkan secara artifisial dan yang biasanya memiliki tanah alkali gambut dan flora khas (seperti edge dan buluh),rawa
bunko,noun,ˈbəŋ-(ˌ)kō,Permainan atau skema penipuan,kecurangan
facetted,noun,ˈfa-sət,Setiap aspek yang dapat ditentukan yang membentuk subjek (saat kontemplasi) atau objek (sebagai pertimbangan),facetted
tapioca,noun,ˌta-pē-ˈō-kə,Persiapan granular pati singkong yang digunakan terutama pada puding dan sebagai penebalan makanan cair;juga: hidangan (seperti puding) yang mengandung tapioka,tapioka
derivate,noun,ˈder-ə-ˌvāt,Turunan,turunan
chirped,verb,ˈchərp,Untuk membuat kicauan atau suara yang menyerupai kicauan,berkicau
mescalero,noun,ˌme-skə-ˈler-(ˌ)ō,Seorang anggota orang apache texas dan new mexico,mescalero
marylander,geographical name,ˈmer-ə-lənd,"Negara bagian di as timur di kedua sisi chesapeake bay dan berbatasan dengan atlantik;capital annapolis area 10.460 mil persegi (27.091 kilometer persegi), populasi 5.773.552",marylander
watchtowers,noun,ˈwäch-ˌtau̇(-ə)r,Menara untuk mencari,watchtowers
databank,noun,data bank,Database,databank
loner,noun,ˈlō-nər,Yang menghindari orang lain: seperti,seorang penyendiri
asparaginase,noun,ˈel-a-ˈsper-ə-jə-ˌnās,"Enzim yang memecah bentuk asparagin yang lebih umum secara fisiologis, diperoleh terutama dari bakteri, dan digunakan terutama untuk mengobati leukemia",asparaginase
barbarism,noun,ˈbär-bə-ˌri-zəm,Kondisi sosial atau intelektual barbar atau biadab: keterbelakangan,barbarisme
matsushima,geographical name,ˌmät-sü-ˈshē-mə,Kelompok lebih dari 200 pulau jepang di luar honshu utara timur laut sendai,matsushima
takeout,noun,ˈtāk-ˌau̇t,Makanan siap saji dikemas untuk dikonsumsi jauh dari tempat penjualannya,mengambil
unimaginative,adjective,ˌən-ə-ˈmaj-nə-tiv,Memiliki atau menunjukkan kurangnya imajinasi atau orisinalitas: tidak imajinatif,tidak imajinatif
whups,verb,ˈ(h)wu̇p,Untuk melakukan pemukulan terutama sebagai hukuman,whups
vocoders,noun,ˈvō-ˈkō-dər,Mekanisme elektronik yang mengurangi sinyal bicara untuk secara perlahan bervariasi sinyal yang dapat ditransmisikan melalui sistem komunikasi bandwidth frekuensi terbatas,vocoders
vga,abbreviation,vga,Array grafis video,vga
outrank,verb,ˌau̇t-ˈraŋk,Untuk peringkat lebih tinggi dari,berpangkat lebih tinggi dr
mortis,noun,ˌri-gər-ˈmȯr-təs,Kekakuan sementara otot yang terjadi setelah kematian,mortis
bearnaise,noun,ˈbā-är-ˌnāz-,"Saus kuning telur dan mentega yang dibumbui dengan bawang merah, anggur, cuka, dan bumbu",bearnaise
the,definite article,t͟hə,—d digunakan sebagai kata fungsi untuk menunjukkan bahwa kata benda atau nomina berikut adalah pasti atau sebelumnya telah ditentukan berdasarkan konteks atau oleh keadaan,itu
of,preposition,əv,—d digunakan sebagai kata fungsi untuk menunjukkan titik perhitungan,dari
and,conjunction,ən(d),—d digunakan sebagai kata fungsi untuk menunjukkan koneksi atau penambahan terutama item dalam kelas atau jenis yang sama - digunakan untuk bergabung dengan elemen kalimat dengan peringkat atau fungsi tata bahasa yang sama,dan
to,preposition,tə,"—d digunakan sebagai kata fungsi untuk menunjukkan gerakan atau tindakan atau kondisi yang menyarankan gerakan ke suatu tempat, orang, atau hal yang dicapai",ke
a,noun,ˈā,Huruf pertama dari alfabet bahasa inggris,a
in,preposition,ˈin,"—d digunakan sebagai kata fungsi untuk menunjukkan inklusi, lokasi, atau posisi dalam batas",di dalam
for,preposition,fər,—d digunakan sebagai kata fungsi untuk menunjukkan tujuan,untuk
is,be,is,Menjadi,adalah
on,preposition,ˈȯn,—d digunakan sebagai kata fungsi untuk menunjukkan posisi yang bersentuhan dengan dan didukung oleh permukaan atas,pada
that,pronoun,ˈt͟hat,"Orang, benda, atau ide yang ditunjukkan, disebutkan, atau dipahami dari situasi tersebut",itu
by,preposition,ˈbī,Di dekatnya: dekat,oleh
this,pronoun,ˈt͟his,"Orang, benda, atau ide yang ada atau dekat di tempat, waktu, atau pemikiran atau yang baru saja disebutkan",ini
with,preposition,ˈwit͟h,Bertentangan dengan: melawan,dengan
i,noun,ˈī,Huruf ke -9 dari alfabet bahasa inggris,saya
you,pronoun,ˈyü,Yang satu atau yang ditangani - digunakan sebagai kata ganti orang kedua tunggal atau jamak dalam hubungan tata bahasa apa pun kecuali yang posesif - digunakan sebelumnya hanya sebagai kata ganti jamak dari orang kedua dalam kasus datif atau akusatif sebagai objek langsung atau tidak langsung atau tidak langsungdari kata kerja atau sebagai objek preposisi,anda
it,pronoun,ˈit,"Yang satu itu - digunakan sebagai objek subjek atau langsung atau objek tidak langsung dari kata kerja atau objek preposisi yang biasanya mengacu pada hal yang tak bernyawa, tanaman, orang atau hewan yang jenis kelaminnya tidak diketahui atau diabaikan, sekelompok individu atau benda, atau bendaentitas abstrak",dia
not,adverb,ˈnät,—d digunakan sebagai kata fungsi untuk membuat negatif sekelompok kata atau kata,bukan
or,conjunction,ər,"—d digunakan sebagai kata fungsi untuk menunjukkan alternatif, karakter yang setara atau substitutif dari dua kata atau frasa, atau perkiraan atau ketidakpastian",atau
be,verb,ˈbē,Untuk sama dalam makna: memiliki konotasi yang sama seperti: melambangkan,menjadi
are,be,are,Menjadi,adalah
from,preposition,ˈfrəm,—d digunakan sebagai kata fungsi untuk menunjukkan titik awal gerakan fisik atau titik awal dalam mengukur atau memperhitungkan atau dalam pernyataan batasan,dari
at,preposition,ət,"—d digunakan sebagai kata fungsi untuk menunjukkan keberadaan atau kejadian di, di, atau dekat",pada
as,adverb,əz,Ke tingkat atau jumlah yang sama,sebagai
your,adjective,yər,"Atau berhubungan dengan anda atau diri anda atau diri anda sendiri terutama sebagai pemilik atau pemilik, agen atau agen, atau objek atau objek dari suatu tindakan",milikmu
all,adjective,ˈȯl,"Seluruh jumlah, jumlah, atau tingkat",semua
have,verb,ˈhav,"Untuk memegang atau mempertahankan sebagai kepemilikan, hak istimewa, atau hak",memiliki
new,adjective,ˈnü,"Baru -baru ini muncul: baru -baru ini, modern",baru
more,adjective,ˈmȯr,Lebih besar,lagi
an,indefinite article,ən,A,sebuah
was,be,was,Menjadi,dulu
we,pronoun,ˈwē,Saya dan anggota kelompok lainnya yang mencakup saya: anda dan saya: anda dan saya dan orang lain atau orang lain: saya dan orang lain atau orang lain tidak termasuk anda - digunakan sebagai kata ganti orang pertama jamak,kami
will,verb,wəl,—) untuk mengekspresikan masa depan,akan
home,noun,ˈhōm,Tempat tempat tinggal: domisili,rumah
can,verb,kən,Dapat secara fisik atau mental,bisa
us,pronoun,ˈəs,Kata ganti,kita
about,adverb,ə-ˈbau̇t,Cukup dekat dengan,tentang
if,conjunction,ˈif,Seandainya,jika
page,noun,ˈpāj,Salah satu daun publikasi atau naskah;juga: satu sisi dari salah satu daun ini,halaman
my,adjective,ˈmī,"Atau berhubungan dengan saya atau saya sendiri terutama sebagai pemilik, agen, objek tindakan, atau orang yang akrab",-ku
has,have,has,Memiliki,memiliki
search,verb,ˈsərch,Untuk melihat ke dalam atau lebih dari hati -hati atau benar -benar dalam upaya untuk menemukan atau menemukan sesuatu: seperti,mencari
free,adjective,ˈfrē,Tidak membebani atau membebankan biaya apapun,bebas
but,conjunction,ˈbət,Kecuali faktanya,tetapi
our,adjective,är,"Dari atau terkait dengan kita atau diri kita sendiri atau diri kita sendiri terutama sebagai pemilik atau pemilik, agen atau agen, atau objek atau objek dari suatu tindakan",kita
one,adjective,ˈwən,Menjadi satu unit atau benda,satu
other,adjective,ˈə-t͟hər,Menjadi satu (pada dua atau lebih) yang tersisa atau tidak termasuk,lainnya
do,verb,ˈdü,Untuk dibawa ke lulus: melaksanakan,mengerjakan
no,adverb,ˈnō,Bukan,tidak
information,noun,ˌin-fər-ˈmā-shən,"Pengetahuan yang diperoleh dari investigasi, studi, atau instruksi",informasi
time,noun,ˈtīm,"Periode yang diukur atau terukur di mana tindakan, proses, atau kondisi ada atau berlanjut: durasi",waktu
they,pronoun,ˈt͟hā,"Orang -orang itu: orang -orang, hewan, atau benda -benda itu",mereka
site,noun,ˈsīt,"Lokasi spasial dari struktur aktual atau yang direncanakan atau serangkaian struktur (seperti bangunan, kota, atau monumen)",lokasi
he,pronoun,ˈhē,Laki -laki yang bukan pembicara atau pendengar,dia
up,adverb,ˈəp,Dalam atau ke posisi atau level yang lebih tinggi;terutama: jauh dari pusat bumi,ke atas
may,auxiliary verb,ˈmā,—derusnya untuk menunjukkan kemungkinan atau probabilitas - kadang -kadang digunakan secara bergantian dengan kaleng - kadang -kadang digunakan di mana mungkin akan diharapkan,mungkin
what,pronoun,ˈ(h)wät,"—d digunakan sebagai interogatif yang menyatakan penyelidikan tentang identitas, sifat, atau nilai suatu objek atau materi",apa
which,adjective,ˈ(h)wich,Menjadi apa yang satu atau satu dari kelompok - digunakan sebagai interogatif,yang
their,adjective,t͟hər,"Atau terkait dengan mereka atau diri mereka sendiri terutama sebagai pemilik, agen, atau objek suatu tindakan",milik mereka
news,noun,ˈnüz,Laporan acara terbaru,berita
out,adverb,ˈau̇t,Ke arah yang jauh dari dalam atau tengah,keluar
use,verb,ˈyüz,Untuk beraksi atau layanan: memanfaatkan diri sendiri: mempekerjakan,menggunakan
any,adjective,ˈe-nē,Satu atau beberapa jenis apa pun tanpa pandang bulu:,setiap
there,adverb,ˈt͟her,Di atau di tempat itu - sering digunakan secara interpection,di sana
see,verb,ˈsē,Untuk melihat dari mata,melihat
only,adjective,ˈōn-lē,Tidak diragukan lagi yang terbaik: tanpa peer,hanya
so,adverb,ˈsō,Dengan cara atau cara yang ditunjukkan atau disarankan - sering digunakan sebagai pengganti klausa sebelumnya,jadi
his,adjective,(h)iz,"Atau berhubungan dengannya atau dirinya sendiri terutama sebagai pemilik, agen, atau objek tindakan",miliknya
when,adverb,ˈ(h)wen,Pada pukul berapa,kapan
contact,noun,ˈkän-ˌtakt,Persatuan atau persimpangan permukaan,kontak
here,adverb,ˈhir,Di atau di tempat ini - sering digunakan secara interpection terutama dalam menjawab panggilan roll,di sini
business,noun,ˈbiz-nəs,"Kegiatan yang biasanya komersial atau dagang yang terlibat sebagai sarana mata pencaharian: perdagangan, garis",bisnis
who,pronoun,ˈhü,"Apa atau orang atau orang mana - yang digunakan sebagai interogatif - digunakan oleh penutur di semua tingkat pendidikan dan oleh banyak penulis yang memiliki reputasi baik, meskipun tidak disetujui oleh beberapa ahli tata bahasa, sebagai objek kata kerja atau preposisi berikut berikut berikut berikut berikut",who
web,noun,ˈweb,Kain pada alat tenun atau dalam proses dihapus dari alat tenun,web
also,adverb,ˈȯl(t)-(ˌ)sō,Juga,juga
now,adverb,ˈnau̇,Saat ini,sekarang
help,verb,ˈhelp,Untuk memberikan bantuan atau dukungan kepada (seseorang): untuk memberi (seseorang) dengan sesuatu yang berguna atau perlu dalam mencapai tujuan,membantu
get,verb,ˈget,Untuk mendapatkan,mendapatkan
pm,abbreviation,pm,Modulasi fase,pm
view,noun,ˈvyü,Luas atau rentang penglihatan: penglihatan,melihat
online,adjective,ˈȯn-ˈlīn,"Terhubung ke, dilayani oleh, atau tersedia melalui sistem dan terutama sistem komputer atau telekomunikasi (seperti internet);juga: dilakukan saat terhubung ke sistem seperti itu",on line
c,noun,ˈsē,Huruf ke -3 dari alfabet bahasa inggris,c
e,noun,ˈē,Huruf ke -5 dari alfabet bahasa inggris,e
first,adjective,ˈfərst,"Mendahului semua orang lain dalam waktu, ketertiban, atau pentingnya: seperti",pertama
am,be,am,Menjadi,saya
been,be,been,—dang yang digunakan dalam bahasa inggris afrika -amerika dengan penekanan yang diucapkan untuk menunjukkan bahwa sesuatu (seperti peristiwa atau negara) terjadi atau ada di masa lalu yang terpencil atau dimulai di masa lalu yang terpencil dan masih berlangsung,pernah
would,verb,wəd,—b digunakan dalam fungsi tambahan untuk mengekspresikan rencana atau niat,akan
how,adverb,ˈhau̇,Dengan cara atau cara apa,bagaimana
were,be,were,Menjadi,adalah
me,pronoun,ˈmē,Kata ganti,saya
s,noun,ˈes,Huruf ke -19 dari alfabet inggris,s
services,noun,ˈsər-vəs,Pekerjaan atau fungsi melayani,jasa
some,adjective,ˈsəm,"Menjadi unit atau benda yang tidak diketahui, tidak ditentukan, atau tidak ditentukan",beberapa
these,this,these,Ini,ini
click,verb,ˈklik,"Untuk menyerang, memindahkan, atau memproduksi dengan klik",klik
its,adjective,ˈits,"Atau berhubungan dengannya atau itu sendiri terutama sebagai pemilik, agen, atau objek suatu tindakan",-nya
like,verb,ˈlīk,Untuk merasakan ketertarikan terhadap atau menikmati: nikmati,menyukai
service,noun,ˈsər-vəs,Pekerjaan atau fungsi melayani,melayani
x,noun,ˈeks,Huruf ke -24 dari alfabet bahasa inggris,x
than,conjunction,t͟hən,—d digunakan sebagai kata fungsi untuk menunjukkan anggota kedua atau anggota yang diambil sebagai titik keberangkatan dalam perbandingan yang ekspresif dari ketidaksetaraan - digunakan dengan kata sifat komparatif dan kata keterangan komparatif,dibandingkan
find,verb,ˈfīnd,Untuk sering terjadi secara tidak sengaja: pertemuan,menemukan
price,noun,ˈprīs,Jumlah uang yang diberikan atau ditetapkan sebagai pertimbangan untuk penjualan sesuatu yang ditentukan,harga
date,noun,ˈdāt,Buah coklat yang dapat dimakan dari telapak tangan (phoenix dactylifera),tanggal
back,noun,ˈbak,Bagian belakang tubuh manusia terutama dari leher ke ujung tulang belakang,kembali
top,noun,ˈtäp,"Titik tertinggi, level, atau bagian dari sesuatu: puncak, mahkota",atas
people,noun,ˈpē-pəl,Manusia yang membentuk kelompok atau perakitan atau dihubungkan oleh kepentingan bersama,rakyat
had,have,had,Memiliki,telah
list,noun,ˈlist,Serangkaian kata atau angka sederhana (seperti nama orang atau objek),daftar
name,noun,ˈnām,Kata atau frasa yang merupakan penunjukan khas seseorang atau benda,nama
just,adjective,ˈjəst,Memiliki dasar atau sesuai dengan fakta atau alasan: masuk akal,hanya
over,adverb,ˈō-vər,Melintasi penghalang atau ruang intervensi;terutama: melintasi garis gawang di sepakbola,lebih
state,noun,ˈstāt,Mode atau kondisi menjadi,negara
year,noun,ˈyir,Periode sekitar 3651/4 hari matahari yang diperlukan untuk satu revolusi bumi di sekitar matahari,tahun
day,noun,ˈdā,Waktu cahaya antara satu malam dan berikutnya,hari
into,preposition,ˈin-(ˌ)tü,"—d digunakan sebagai kata fungsi untuk menunjukkan entri, pengantar, penyisipan, superposisi, atau inklusi",ke dalam
email,noun,ˈē-ˌmāl,Sarana atau sistem untuk mengirimkan pesan secara elektronik (seperti di antara komputer di jaringan),surel
two,adjective,ˈtü,Menjadi satu lebih dari satu dalam jumlah,dua
health,noun,ˈhelth,"Kondisi menjadi sehat dalam tubuh, pikiran, atau roh;terutama: kebebasan dari penyakit fisik atau rasa sakit",kesehatan
n,noun,ˈen,Huruf ke -14 dari alfabet bahasa inggris,n
world,noun,ˈwər(-ə)ld,Keadaan keberadaan manusia duniawi,dunia
re,noun,ˈrā,Catatan kedua dari skala utama di solfège,ulang
next,adjective,ˈnekst,"Segera berdekatan (seperti di tempat, pangkat, atau waktu)",berikutnya
used,adjective,ˈyüzd,Telah digunakan sebelumnya: seperti,digunakan
go,verb,ˈgō,Untuk pindah ke kursus: lanjutkan,pergi
b,noun,ˈbē,Huruf kedua dari alfabet bahasa inggris,b
work,verb,ˈwərk,Untuk melakukan pekerjaan atau memenuhi tugas secara teratur untuk upah atau gaji,bekerja
last,verb,ˈlast,Untuk melanjutkan waktu,terakhir
most,adjective,ˈmōst,"Terbesar dalam jumlah, tingkat, atau gelar",paling
products,noun,ˈprä-(ˌ)dəkt,Jumlah atau ekspresi yang dihasilkan dari perkalian bersama dari dua atau lebih angka atau ekspresi,produk
music,noun,ˈmyü-zik,"Suara vokal, instrumental, atau mekanis yang memiliki ritme, melodi, atau harmoni",musik
buy,verb,ˈbī,"Untuk memperoleh kepemilikan, kepemilikan, atau hak atas penggunaan atau layanan dengan pembayaran terutama uang: pembelian",membeli
data,noun,ˈdā-tə,"Informasi faktual (seperti pengukuran atau statistik) yang digunakan sebagai dasar untuk penalaran, diskusi, atau perhitungan",data
make,verb,ˈmāk,"Untuk dibawa dengan membentuk, membentuk, atau mengubah materi: fashion",membuat
them,pronoun,(t͟h)əm,Mereka - digunakan sebagai objek dari kata kerja atau preposisi,mereka
should,auxiliary verb,shəd,—d digunakan dalam fungsi tambahan untuk mengekspresikan kondisi,sebaiknya
product,noun,ˈprä-(ˌ)dəkt,Jumlah atau ekspresi yang dihasilkan dari perkalian bersama dari dua atau lebih angka atau ekspresi,produk
system,noun,ˈsi-stəm,Kelompok item yang berinteraksi secara teratur atau saling bergantung membentuk keseluruhan yang terpadu: seperti,sistem
post,noun,ˈpōst,"Sepotong (seperti kayu atau logam) diperbaiki dengan kuat dalam posisi tegak terutama sebagai tinggal atau dukungan: pilar, kolom",pos
her,adjective,(h)ər,"Atau terkait dengannya terutama sebagai pemilik, agen, atau objek tindakan",dia
city,noun,ˈsi-tē,"Tempat yang dihuni dengan ukuran, populasi, atau pentingnya lebih besar daripada kota atau desa",kota
t,noun,ˈtē,Huruf ke -20 dari alfabet bahasa inggris,t
add,verb,ˈad,Untuk bergabung atau bersatu sehingga menghasilkan peningkatan atau peningkatan,menambahkan
policy,noun,ˈpä-lə-sē,Kehati -hatian atau kebijaksanaan dalam pengelolaan urusan,kebijakan
number,noun,ˈnəm-bər,Sejumlah unit: total,nomor
such,adjective,ˈsəch,Dari jenis atau karakter yang harus ditunjukkan atau disarankan,seperti
please,verb,ˈplēz,Untuk membeli atau memberikan kesenangan atau kepuasan,tolong
available,adjective,ə-ˈvā-lə-bəl,Hadir atau siap digunakan segera,tersedia
copyright,noun,ˈkä-pē-ˌrīt,"Hak hukum eksklusif untuk mereproduksi, menerbitkan, menjual, atau mendistribusikan masalah dan bentuk sesuatu (seperti karya sastra, musik, atau artistik)",hak cipta
support,verb,sə-ˈpȯrt,Untuk bertahan dengan berani atau diam -diam: beruang,mendukung
message,noun,ˈme-sij,"Komunikasi secara tertulis, dalam pidato, atau dengan sinyal",pesan
after,adverb,ˈaf-tər,"Mengikuti waktu atau tempat: sesudahnya, di belakang, nanti",setelah
best,adjective,ˈbest,Unggul semua orang lain,terbaik
software,noun,ˈsȯft-ˌwer,Sesuatu yang digunakan atau dikaitkan dengan dan biasanya kontras dengan perangkat keras: seperti,perangkat lunak
then,adverb,ˈt͟hen,Pada waktu itu,kemudian
jan,abbreviation,jan,Januari,jan
good,adjective,ˈgu̇d,Karakter atau kecenderungan yang menguntungkan,bagus
video,noun,ˈvi-dē-ˌō,Perekaman gambar atau gambar bergerak: seperti,video
well,noun,ˈwel,Masalah air dari bumi: kolam yang diumpankan oleh pegas,sehat
d,noun,ˈdē,Huruf ke -4 dari alfabet bahasa inggris,d
where,adverb,ˈ(h)wer,"Di, di, atau ke tempat mana",di mana
info,noun,ˈin-(ˌ)fō,Informasi,info
rights,noun,right,Kualitas (seperti kepatuhan terhadap tugas atau kepatuhan terhadap otoritas yang sah) bahwa bersama -sama merupakan cita -cita kepatutan moral atau persetujuan moral,hak
public,adjective,ˈpə-blik,Terkena tampilan umum: buka,publik
books,verb,book,"Untuk mendaftar (sesuatu, seperti nama) untuk beberapa kegiatan atau kondisi di masa depan (untuk melibatkan transportasi atau cadangan penginapan)",buku
high,adjective,ˈhī,"Naik atau memanjang ke atas jarak jauh: lebih tinggi dari rata -rata, biasa, atau diharapkan",tinggi
school,noun,ˈskül,Organisasi yang memberikan instruksi: seperti,sekolah
through,preposition,ˈthrü,—d digunakan sebagai kata fungsi untuk menunjukkan gerakan ke di satu sisi atau titik dan keluar di sisi lain dan terutama sisi yang berlawanan,melalui
m,noun,ˈem,Huruf ke -13 dari alfabet bahasa inggris,m
each,adjective,ˈēch,Menjadi salah satu dari dua atau lebih orang berbeda yang memiliki hubungan yang sama dan sering kali merupakan agregat,setiap
links,plural noun,ˈliŋ(k)s,Bukit pasir terutama di sepanjang pantai,tautan
she,pronoun,ˈshē,Wanita wanita yang bukan pembicara atau pendengar itu,dia
review,noun,ri-ˈvyü,Inspeksi militer formal,tinjauan
years,noun,ˈyir,Periode sekitar 3651/4 hari matahari yang diperlukan untuk satu revolusi bumi di sekitar matahari,bertahun-tahun
order,verb,ˈȯr-dər,Untuk dimasukkan: mengatur,memesan
very,adverb,ˈver-ē,Ke tingkat yang tinggi: sangat,sangat
privacy,noun,ˈprī-və-sē,Kualitas atau keadaan terpisah dari perusahaan atau pengamatan: seklusi,pribadi
book,noun,ˈbu̇k,Satu set lembar kulit atau kertas tertulis atau tablet kayu atau gading,buku
items,verb,ˈī-təm,"Menghitung, memperhitungkan",item
company,noun,ˈkəmp-nē,Asosiasi dengan yang lain: persekutuan,perusahaan
r,noun,ˈär,Huruf ke -18 dari alfabet bahasa inggris,r
read,verb,ˈrēd,"Untuk menerima atau memahami (huruf, simbol, dll.) terutama dengan penglihatan atau sentuhan",membaca
group,noun,ˈgrüp,Dua atau lebih angka yang membentuk unit lengkap dalam suatu komposisi,kelompok
sex,noun,ˈseks,Salah satu dari dua bentuk utama individu yang terjadi pada banyak spesies dan yang dibedakan masing -masing sebagai betina atau jantan terutama berdasarkan organ dan struktur reproduksi mereka,seks
need,noun,ˈnēd,Tugas yang diperlukan: kewajiban,membutuhkan
many,adjective,ˈme-nē,Terdiri dari atau berjumlah jumlah yang besar tetapi tidak terbatas,banyak
user,noun,ˈyü-zər,Seseorang yang menggunakan sesuatu: seperti,pengguna
said,say,said,Mengatakan,dikatakan
de,abbreviation,de,Akhir defensif,de
does,do,does,Mengerjakan,melakukan
set,verb,ˈset,Menyebabkan duduk: letakkan di dalam atau di kursi,mengatur
under,adverb,ˈən-dər,Dalam atau ke posisi di bawah atau di bawah sesuatu,di bawah
general,adjective,ˈjen-rəl,"Melibatkan, berlaku untuk, atau mempengaruhi keseluruhan",umum
